query name,rating_hottest,path to metadata
chest X-Ray images,12,tawsifurrahman/tuberculosis-tb-chest-xray-dataset
chest X-Ray images,13,preetviradiya/covid19-radiography-dataset
chest X-Ray images,14,bachrr/covid-chest-xray
chest X-Ray images,15,raddar/chest-xrays-indiana-university
chest X-Ray images,16,hmchuong/xray-bone-shadow-supression
chest X-Ray images,17,nikhilpandey360/chest-xray-masks-and-labels
chest X-Ray images,18,prashant268/chest-xray-covid19-pneumonia
chest X-Ray images,19,alifrahman/chestxraydataset
chest X-Ray images,20,andrewmvd/pediatric-pneumonia-chest-xray
books,1,jealousleopard/goodreadsbooks
books,2,saurabhbagchi/books-dataset
books,3,mohamedbakhet/amazon-books-reviews
books,4,drahulsingh/best-selling-books
books,5,dylanjcastillo/7k-books-with-metadata
books,6,abdallahwagih/books-dataset
books,7,sootersaalu/amazon-top-50-bestselling-books-2009-2019
books,8,deepcontractor/marvel-comic-books
books,9,elvinrustam/books-dataset
books,10,khushikhushikhushi/amazon-bestselling-books
books,11,dareenalharthi/jamalon-arabic-books-dataset
books,12,chhavidhankhar11/amazon-books-dataset
books,13,asaniczka/amazon-kindle-books-dataset-2023-130k-books
books,14,die9origephit/amazon-data-science-books
books,15,thedevastator/books-sales-and-ratings
books,16,mdhamani/goodreads-books-100k
books,17,thomaskonstantin/top-270-rated-computer-science-programing-books
books,18,shilpikulshrestha/books-sold-dataset
books,19,tanmay43sharma/goodreads-popular-books-dataset
books,20,ishikajohari/best-books-10k-multi-genre-data
sarcasm detection,1,rmisra/news-headlines-dataset-for-sarcasm-detection
sarcasm detection,2,saurabhbagchi/sarcasm-detection-through-nlp
sarcasm detection,3,mikahama/the-best-sarcasm-annotated-dataset-in-spanish
sarcasm detection,4,prashantpathak244/mustard-multimodal-sarcasm-detection-dataset
sarcasm detection,5,rmisra/news-category-dataset
sarcasm detection,6,kashnitsky/mlcourse
sarcasm detection,7,harrotuin/dutch-news-headlines
sarcasm detection,8,rmisra/imdb-spoiler-dataset
sarcasm detection,9,rmisra/clothing-fit-dataset-for-size-recommendation
sarcasm detection,10,pragyakatyayan/hindi-tweets-dataset-for-sarcasm-detection
sarcasm detection,11,rmisra/politifact-fact-check-dataset
sarcasm detection,12,tanishas2024/sarcasm-detection
sarcasm detection,13,farisalahmdi/arabic-youtube-comments-by-khalaya
sarcasm detection,14,khotijahs1/data-train
sarcasm detection,15,mathurinache/pretrained-models-emotion-recognition
sarcasm detection,16,williamscott701/memotion-dataset-7k
sarcasm detection,17,talalhassan141/sarcasm-detection
sarcasm detection,18,adityaraghuvanshi999/semeval22-sarcasm-detection
sarcasm detection,19,sakibapon/banglasarc
sarcasm detection,20,anasqais/news-headlines-dataset-for-sarcasm-detection
easy dataset,1,oddrationale/mnist-in-csv
easy dataset,2,sujithmandala/credit-score-classification-dataset
easy dataset,3,yichengs/captioned-moving-mnist-dataset-easy-version
easy dataset,4,yusufemir/lemon-quality-dataset
easy dataset,5,rohitsahoo/sales-forecasting
easy dataset,6,mbkinaci/fruit-images-for-object-detection
easy dataset,7,aungpyaeap/supermarket-sales
easy dataset,8,silenttalk/bitcoin-prices-over-2-hours
easy dataset,9,midhundasl/co2-emission-of-cars-dataset
easy dataset,10,altavish/boston-housing-dataset
easy dataset,11,mayurdalvi/simple-linear-regression-placement-data
easy dataset,12,rubenssjr/brasilian-houses-to-rent
easy dataset,13,surajjha101/cuisine-rating
easy dataset,14,sovannt/world-bank-youth-unemployment
easy dataset,15,rodolfofigueroa/spotify-12m-songs
easy dataset,16,benedictwilkinsai/mnist-hd5f
easy dataset,17,anshulmehtakaggl/chess-pieces-detection-images-dataset
easy dataset,18,santoshd3/bank-customers
easy dataset,19,shrutisaxena/yoga-pose-image-classification-dataset
easy dataset,20,starbucks/starbucks-menu
mask detection,1,andrewmvd/face-mask-detection
mask detection,2,vijaykumar1799/face-mask-detection
mask detection,3,ashishjangra27/face-mask-12k-images-dataset
mask detection,4,omkargurav/face-mask-dataset
mask detection,5,wobotintelligence/face-mask-detection-dataset
mask detection,6,sshikamaru/face-mask-detection
mask detection,7,prithwirajmitra/covid-face-mask-detection-dataset
mask detection,8,niharika41298/withwithout-mask
mask detection,9,moussaid/mask-detection
mask detection,10,sumansid/facemask-dataset
mask detection,11,mloey1/medical-face-mask-detection-dataset
mask detection,12,tapakah68/medical-masks-part1
mask detection,13,harry418/dataset-for-mask-detection
mask detection,14,arunrk7/surface-crack-detection
mask detection,15,humansintheloop/medical-mask-detection
mask detection,16,amerii/spacenet-7-change-detection-chips-and-masks
mask detection,17,aneerbanchakraborty/face-mask-detection-data
mask detection,18,sanknn/facemask-detection
mask detection,19,snehilsanyal/construction-site-safety-image-dataset-roboflow
mask detection,20,jamesnogra/face-mask-usage
medical mask detection,1,mloey1/medical-face-mask-detection-dataset
medical mask detection,2,humansintheloop/medical-mask-detection
medical mask detection,3,balraj98/cvcclinicdb
medical mask detection,4,tawsifurrahman/covid19-radiography-database
medical mask detection,5,abdallahwagih/retina-blood-vessel
medical mask detection,6,anasmohammedtahir/covidqu
medical mask detection,7,debeshjha1/kvasirseg
medical mask detection,8,wobotintelligence/face-mask-detection-dataset
medical mask detection,9,shrirajchauhan/face-mask-detection-medical-and-nonmedical-masks
medical mask detection,10,trngvhong/mfvt-dataset
medical mask detection,11,zeeshanahmed13/intraretinal-cystoid-fluid
medical mask detection,12,ignaciorlando/ussimandsegm
medical mask detection,13,trainingdatapro/portrait-and-30-photos-test
medical mask detection,14,debeshjha1/kvasirinstrument
medical mask detection,15,tapakah68/medical-masks-part1
medical mask detection,16,debeshjha1/endotect-dataset
medical mask detection,17,yoctoman/shcxr-lung-mask
medical mask detection,18,gooogr/yolo-medical-mask-dataset
medical mask detection,19,debeshjha1/medico-automatic-polyp-segmentation-challenge
medical mask detection,20,yannicksteph/githut-rsna-miccai-brain-tumor-classification-ai
car object detection,1,sshikamaru/car-object-detection
car object detection,2,trainingdatapro/cars-video-object-tracking
car object detection,3,owaiskhan9654/car-person-v2-roboflow
car object detection,4,andy8744/playing-cards-object-detection-dataset
car object detection,5,alincijov/self-driving-cars
car object detection,6,programmerrdai/find-the-car-object-detection
car object detection,7,aslanahmedov/number-plate-detection
car object detection,8,boulahchichenadir/cars-object-detection
car object detection,9,gunhcolab/object-detection-dataset-standard-52card-deck
car object detection,10,andrewteplov/car-object-detection
car object detection,11,ibrahimalobaid/object-detection-carla-self-driving-car
car object detection,12,suraj520/carla-object-detection-dataset
car object detection,13,trainingdatapro/roads-segmentation-dataset
car object detection,14,mohamedgobara/26-class-object-detection-dataset
car object detection,15,boukraailyesali/traffic-road-object-detection-dataset-using-yolo
car object detection,16,trainingdatapro/license-plates-1-209-438-ocr-plates
car object detection,17,abdallahwagih/cars-detection
car object detection,18,andrewteplov/car-plate-object-detetcion
car object detection,19,tapakah68/videos-around-cars
car object detection,20,intelecai/car-segmentation
real or fake image,1,ciplab/real-and-fake-face-detection
real or fake image,2,birdy654/cifake-real-and-ai-generated-synthetic-images
real or fake image,3,manjilkarki/deepfake-and-real-images
real or fake image,4,jeffheaton/mcfakes
real or fake image,5,uditsharma72/real-vs-fake-faces
real or fake image,6,kidonpark1023/fake-or-real-dataset
real or fake image,7,undersc0re/fake-vs-real-face-classification
real or fake image,8,yewtsing/pretty-face
real or fake image,9,mrisdal/fact-checking-facebook-politics-pages
real or fake image,10,johnallen11/image-identification-fake-or-real
real or fake image,11,guybarash/israeli-parliament-knesset-members
real or fake image,12,krpurba/fakeauthentic-user-instagram
real or fake image,13,datascientist97/banknote-authentication-dataset-2024
real or fake image,14,phunghieu/deepfake-detection-faces-part-0-0
real or fake image,15,tapakah68/generated-usa-passeports-dataset
real or fake image,16,mssomanna/indian-coin-images-dataset-incl-fake-coins
real or fake image,17,trainingdatapro/generated-vietnamese-passeports-dataset
real or fake image,18,trainingdatapro/asian-people-liveness-detection-video-dataset
real or fake image,19,phunghieu/deepfake-detection-faces-part-3-0
real or fake image,20,phunghieu/deepfake-detection-faces-part-0-1
football players dataset,1,balabaskar/golden-foot-football-players-image-dataset
football players dataset,2,khanghunhnguyntrng/football-players-transfer-fee-prediction-dataset
football players dataset,3,maso0dahmed/football-players-data
football players dataset,4,borhanitrash/football-players-detection-dataset
football players dataset,5,secareanualin/football-events
football players dataset,6,hugomathien/soccer
football players dataset,7,davidcariboo/player-scores
football players dataset,8,oles04/bundesliga-soccer-player
football match,1,omikumarmakadia2121/football-match-winners
football match,2,ricardomoya/football-matches-of-spanish-league
football match,3,martj42/international-football-results-from-1872-to-2017
text classification,1,datatattle/covid-19-nlp-text-classification
text classification,2,saurabhshahane/ecommerce-text-classification
text classification,3,kashnitsky/hierarchical-text-classification
text classification,4,team-ai/spam-text-message-classification
text classification,5,tanishqdublish/text-classification-documentation
text classification,6,shivamb/legal-citation-text-classification
text classification,7,alfathterry/bbc-full-text-document-classification
text classification,8,sunilthite/text-document-classification-dataset
text classification,9,falgunipatel19/biomedical-text-publication-classification
text classification,10,thedevastator/sms-spam-collection-a-more-diverse-dataset
text classification,11,tapakah68/email-spam-classification
text classification,12,jensenbaxter/10dataset-text-document-classification
text classification,13,kaushiksuresh147/the-social-dilemma-tweets
text classification,14,shivamkushwaha/bbc-full-text-document-classification
text classification,15,dipankarsrirag/topic-modelling-on-emails
text classification,16,datatattle/email-classification-nlp
text classification,17,hijest/genre-classification-dataset-imdb
text classification,18,mikhailma/russian-social-media-text-classification
text classification,19,pkdarabi/yektanet
text classification,20,owaiskhan9654/pubmed-multilabel-text-classification
classification,1,uciml/mushroom-classification
classification,2,prathamtripathi/drug-classification
classification,3,asdasdasasdas/garbage-classification
classification,4,andrewmvd/fetal-health-classification
classification,5,andrewmvd/cyberbullying-classification
classification,6,uciml/glass
classification,7,iabhishekofficial/mobile-price-classification
classification,8,andrewmvd/leukemia-classification
classification,9,puneet6060/intel-image-classification
classification,10,hb20007/gender-classification
classification,11,sshikamaru/fruit-recognition
classification,12,techsash/waste-classification-data
classification,13,hetulmehta/website-classification
classification,14,uciml/zoo-animal-classification
classification,15,parisrohan/credit-score-classification
classification,16,nitishabharathi/scene-classification
classification,17,marquis03/plants-classification
classification,18,marquis03/flower-classification
classification,19,gpiosenka/100-bird-species
classification,20,sartajbhuvaji/brain-tumor-classification-mri
